Id,Main,title,Third,Brands,旗舰店,天猫超市,海外旗舰店
274,进口食品,进口粮油/速食/调料,进口橄榄油,品利,1,1,0
275,进口食品,进口粮油/速食/调料,进口橄榄油,RONGS/融氏,1,1,0
276,进口食品,进口粮油/速食/调料,进口橄榄油,Oleoestepa/奥莱奥原生,1,1,0
277,进口食品,进口粮油/速食/调料,进口橄榄油,佰多力（西班牙）,1,1,0
278,进口食品,进口粮油/速食/调料,进口橄榄油,BETIS/贝蒂斯,1,1,0
279,进口食品,进口粮油/速食/调料,进口橄榄油,安堤卡,1,1,0
280,进口食品,进口粮油/速食/调料,进口大米,KOKO,1,1,0
281,进口食品,进口粮油/速食/调料,进口大米,孟乍隆,1,1,0
282,进口食品,进口粮油/速食/调料,进口大米,王家粮仓,1,1,0
283,进口食品,进口粮油/速食/调料,进口大米,福临门,1,1,0
284,进口食品,进口粮油/速食/调料,进口大米,泰砻氏牌（泰国）,1,1,0
285,进口食品,进口粮油/速食/调料,进口大米,十月稻田,1,1,0
286,进口食品,进口粮油/速食/调料,进口大米,爱普莎（柬埔寨）,1,1,0
287,进口食品,进口粮油/速食/调料,进口大米,Wonder Farm/香满园,1,1,0
288,进口食品,进口粮油/速食/调料,进口大米,香纳兰,1,1,0
289,进口食品,进口粮油/速食/调料,进口大米,SWEET FA YAN/穗方源,1,1,0
290,进口食品,进口粮油/速食/调料,进口大米,湄南河（泰国）,1,1,0
291,进口食品,进口粮油/速食/调料,进口大米,皇族金辉（泰国）,1,1,0
292,进口食品,进口粮油/速食/调料,进口大米,德乌敦（泰国）,0,1,0
293,进口食品,进口粮油/速食/调料,进口大米,GAEA GEM/金健,1,1,0
294,进口食品,进口粮油/速食/调料,进口大米,金芳,1,1,0
295,进口食品,进口粮油/速食/调料,进口大米,泰珺妃,1,1,0
296,进口食品,进口粮油/速食/调料,进口大米,金御皇（台湾）,0,0,0
297,进口食品,进口粮油/速食/调料,进口方便面,出前一丁,1,1,0
298,进口食品,进口粮油/速食/调料,进口方便面,KOKA/可口（新加坡）,0,0,0
299,进口食品,进口粮油/速食/调料,进口方便面,yumyum/养养,1,0,0
300,进口食品,进口粮油/速食/调料,进口方便面,农心,1,1,0
301,进口食品,进口粮油/速食/调料,进口方便面,三养（韩国）,1,1,0
302,进口食品,进口粮油/速食/调料,进口方便面,公仔面,1,1,0
303,进口食品,进口粮油/速食/调料,进口方便面,Moli Pasta/莫利,0,1,0
304,进口食品,进口粮油/速食/调料,进口方便面,喜达,1,1,0
305,进口食品,进口粮油/速食/调料,进口方便面,NISSIN/日清,1,1,1
306,进口食品,进口粮油/速食/调料,进口方便面,维塔曼,0,1,0
307,进口食品,进口粮油/速食/调料,进口方便面,LonttonWF,1,1,0
308,进口食品,进口粮油/速食/调料,进口方便面,营多,1,1,0
309,进口食品,进口粮油/速食/调料,进口方便面,EGO（马来西亚）,0,1,0
310,进口食品,进口粮油/速食/调料,进口意面,REGGIA,0,1,0
311,进口食品,进口粮油/速食/调料,进口意面,Barilla/百味来,1,1,0
312,进口食品,进口粮油/速食/调料,进口意面,欧佩妮（意大利）,0,1,0
313,进口食品,进口粮油/速食/调料,进口意面,麦丽莎（希腊）,0,1,0
314,进口食品,进口粮油/速食/调料,进口意面,碧欧奇,1,1,0
315,进口食品,进口粮油/速食/调料,进口意面,公鸡,1,0,0
316,进口食品,进口粮油/速食/调料,进口意面,Moli Pasta/莫利,0,1,0
317,进口食品,进口粮油/速食/调料,进口意面,Aleyka/艾利客,0,1,0
318,进口食品,进口粮油/速食/调料,进口意面,麦嘉乐（意大利）,0,0,0
319,进口食品,进口粮油/速食/调料,进口意面,乐烹公主,1,1,0
320,进口食品,进口粮油/速食/调料,进口意面,马可意坊,0,1,0
321,进口食品,进口粮油/速食/调料,进口意面,每食富,0,1,0
322,进口食品,进口粮油/速食/调料,进口意面,品利,1,1,0
323,进口食品,进口粮油/速食/调料,进口罐头,雄鸡标,1,1,0
324,进口食品,进口粮油/速食/调料,进口罐头,都乐,1,1,0
325,进口食品,进口粮油/速食/调料,进口罐头,小胖子（泰国）,1,1,0
326,进口食品,进口粮油/速食/调料,进口罐头,茄意欧(意大利),0,1,0
327,进口食品,进口粮油/速食/调料,进口罐头,GAINES/佳乐滋,1,1,0
328,进口食品,进口粮油/速食/调料,进口罐头,珍致,1,1,0
329,进口食品,进口粮油/速食/调料,进口罐头,东远（韩国）,1,1,0
330,进口食品,进口粮油/速食/调料,进口罐头,新宜兴,1,1,0
331,进口食品,进口粮油/速食/调料,进口罐头,日月棠,0,1,0
332,进口食品,进口粮油/速食/调料,进口罐头,西部约翰,1,1,0
333,进口食品,进口粮油/速食/调料,进口罐头,Canidae/卡比,1,1,0
334,进口食品,进口粮油/速食/调料,进口罐头,CENTURY/鲜得味,0,0,0
335,进口食品,进口粮油/速食/调料,进口罐头,whiskas/伟嘉,1,1,0
336,进口食品,进口粮油/速食/调料,进口罐头,九日,1,1,0
337,进口食品,进口粮油/速食/调料,进口罐头,Frisian/富力鲜,1,1,0
338,进口食品,进口粮油/速食/调料,进口罐头,MYFOODIE/麦富迪,1,0,0
339,进口食品,进口粮油/速食/调料,进口罐头,伊纳宝,1,1,0
340,进口食品,进口粮油/速食/调料,进口调味料,丽尔泰,0,1,0
341,进口食品,进口粮油/速食/调料,进口调味料,蒂安,1,1,0
342,进口食品,进口粮油/速食/调料,进口调味料,哈奇（日本）,1,1,0
343,进口食品,进口粮油/速食/调料,进口调味料,佳厨（泰国）,0,1,0
344,进口食品,进口粮油/速食/调料,进口调味料,水妈妈（泰国）,0,1,0
345,进口食品,进口粮油/速食/调料,进口调味料,膳府,0,1,0
346,进口食品,进口粮油/速食/调料,进口调味料,雄鸡标,1,1,0
347,进口食品,进口粮油/速食/调料,进口调味料,FERRERO ROCHER/费列罗,1,0,1
348,进口食品,进口粮油/速食/调料,进口调味料,大华（新加坡）,1,1,1
349,进口食品,进口粮油/速食/调料,进口调味酱,丽尔泰,0,1,0
350,进口食品,进口粮油/速食/调料,进口调味酱,清净园,1,1,1
351,进口食品,进口粮油/速食/调料,进口调味酱,嘉丽,1,1,0
352,进口食品,进口粮油/速食/调料,进口调味酱,茄意欧(意大利),0,1,0
353,进口食品,进口粮油/速食/调料,进口调味酱,膳府,0,1,0
354,进口食品,进口粮油/速食/调料,进口调味酱,Barilla/百味来,1,1,0
355,进口食品,进口粮油/速食/调料,进口调味酱,水妈妈（泰国）,0,1,0
356,进口食品,进口粮油/速食/调料,进口调味酱,Bonne Maman,0,1,0
357,进口食品,进口粮油/速食/调料,进口调味酱,哈奇（日本）,1,1,0
358,进口食品,进口粮油/速食/调料,进口调味酱,圣桃园,0,1,0
359,进口食品,进口粮油/速食/调料,进口调味酱,woeber's/韦贝尔,0,0,0
360,进口食品,进口粮油/速食/调料,进口调味酱,公鸡,1,0,0
361,进口食品,进口粮油/速食/调料,进口调味酱,立格仕（澳大利亚）,1,1,0
362,进口食品,进口粮油/速食/调料,进口调味酱,每食富,0,1,0
363,进口食品,进口粮油/速食/调料,进口调味酱,佳厨（泰国）,0,1,0
364,进口食品,进口粮油/速食/调料,进口调味酱,Nestle/雀巢,0,1,0
365,进口食品,进口粮油/速食/调料,进口调味酱,East＆West/意好味,0,1,0
366,进口食品,进口粮油/速食/调料,进口调味酱,冠利,1,1,0
367,进口食品,进口粮油/速食/调料,进口调味酱,HERSHEY’S/好时,0,1,0
368,进口食品,进口粮油/速食/调料,进口调味酱,好餐得,1,1,1
369,进口食品,进口粮油/速食/调料,进口调味汁,丽米,1,1,0
370,进口食品,进口粮油/速食/调料,进口调味汁,莫奈瑞,0,1,0
371,进口食品,进口母婴用品,进口纸尿裤,moony,1,1,1
372,进口食品,进口母婴用品,进口纸尿裤,Pampers/帮宝适,1,1,0
373,进口食品,进口母婴用品,进口婴儿奶粉,Synutra/圣元,1,1,0
